duration_minutes,duration_seasons,type,title,date_added,release_year,rating,description,show_id,cast,director,country,listed_in,year_added,month_added
90,0,Movie,Norm of the North: King Sized Adventure,2019-09-09,2019.0,TV-PG,"Before planning an awesome wedding for his grandfather, a polar bear king must take back a stolen artifact from an evil archaeologist first.",81145628.0,"Alan Marriott, Jennifer Cameron, Lee Tockar, Jonathan Holmes, Michael Dobson, Andrew Toth, Brian Dobson, Cole Howard, Lisa Durupt, Maya Kay","Richard Finn, Tim Maltby","United States, China, India, South Korea","Children & Family Movies, Comedies",2019,9
94,0,Movie,Jandino: Whatever it Takes,2016-09-09,2016.0,TV-MA,"Jandino Asporaat riffs on the challenges of raising kids and serenades the audience with a rousing rendition of ""Sex on Fire"" in his comedy show.",80117401.0,Jandino Asporaat,Not Available,United Kingdom,Stand-Up Comedy,2016,9
0,1,TV Show,Transformers Prime,2018-09-08,2013.0,TV-Y7-FV,"With the help of three human allies, the Autobots once again protect Earth from the onslaught of the Decepticons and their leader, Megatron.",70234439.0,"Peter Cullen, Kevin Michael Richardson, Josh Keaton, Tania Gunadi, Ernie Hudson, Will Friedle, Sumalee Montano, Frank Welker, Daran Norris, Jeffrey Combs, Steve Blum, Andy Pessoa",Not Available,United States,Kids' TV,2018,9
0,1,TV Show,Transformers: Robots in Disguise,2018-09-08,2016.0,TV-Y7,"When a prison ship crash unleashes hundreds of Decepticons on Earth, Bumblebee leads a new Autobot force to protect humankind.",80058654.0,"Will Friedle, Mitchell Whitfield, Ted McGinley, Stuart Allan, Darren Criss, Constance Zimmer, Khary Payton, Peter Cullen",Not Available,United States,Kids' TV,2018,9
99,0,Movie,#realityhigh,2017-09-08,2017.0,TV-14,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.",80125979.0,"Nesta Cooper, Alicia Sanz, Kid Ink, Jake Borelli, Anne Winters, Patrick Davis, Kate Walsh, John Michael Higgins, Peter Gilroy, Keith Powers, Yousef Erakat, Rebekah Graf",Fernando Lebrija,United States,Comedies,2017,9
0,1,TV Show,Apaches,2017-09-08,2016.0,TV-MA,A young journalist is forced into a life of crime to save his father and family in this series based on the novel by Miguel Sáez Carral.,80163890.0,"Alberto Ammann, Claudia Traisac, Eloy Azorín, Verónica Echegui, Lucía Jiménez",Not Available,Spain,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",2017,9
110,0,Movie,Automata,2017-09-08,2014.0,R,"In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy.",70304989.0,"Antonio Banderas, Robert Forster, Tim McInnerny, Christa Campbell, Dylan McDermott, Melanie Griffith, Birgitte Hjort Sørensen, Andy Nyman, David Ryall",Gabe Ibáñez,"Bulgaria, Canada, United States, Spain","International Movies, Sci-Fi & Fantasy, Thrillers",2017,9
60,0,Movie,Fabrizio Copano: Solo pienso en mi,2017-09-08,2017.0,TV-MA,"Fabrizio Copano takes audience participation to the next level in this stand-up set while reflecting on sperm banks, family WhatsApp groups and more.",80164077.0,Fabrizio Copano,"Rodrigo Toro, Francisco Schultz",Chile,Stand-Up Comedy,2017,9
0,1,TV Show,Fire Chasers,2017-09-08,2017.0,TV-MA,"As California's 2016 fire season rages, brave backcountry firefighters race to put out the flames, protect homes and save lives in this docuseries.",80117902.0,Not Available,Not Available,United States,"Docuseries, Science & Nature TV",2017,9
90,0,Movie,Good People,2017-09-08,2014.0,R,A struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered.,70304990.0,"James Franco, Sam Spruell, Thomas Arnold, Anna Friel, Michael Jibson, Kate Hudson, Tom Wilkinson, Diarmaid Murtagh, Omar Sy, Oliver Dimsdale, Diana Hardcastle",Henrik Ruben Genz,"United States, Sweden, United Kingdom, Denmark","Action & Adventure, Thrillers",2017,9
